Agency for Healthcare Research and Quality,https://www.usa.gov/federal-agencies/agency-for-healthcare-research-and-quality,AHRQ,http://www.ahrq.gov/,"Office of Communications and Knowledge Transfer 540 Gaither Road, Suite 2000 Rockville , MD 20850",1-301-427-1104,"[u'Contact the Agency for Healthcare Research and Quality (AHRQ)', 'http://www.ahrq.gov/contact/', u'Email the Agency for Healthcare Research & Quality', 'https://info.ahrq.gov/app/ask']"
U.S. Agency for International Development,https://www.usa.gov/federal-agencies/u-s-agency-for-international-development,USAID,http://www.usaid.gov/,"Ronald Reagan Building Washington , DC 20523-1000",1-202-712-4810,"[u'Contact the U.S. Agency for International Development', 'http://www.usaid.gov/comment', u'Staff Directory', 'http://www.usaid.gov/staff-directory']"
Agency for Toxic Substances and Disease Registry,https://www.usa.gov/federal-agencies/agency-for-toxic-substances-and-disease-registry,none,http://www.atsdr.cdc.gov/,"4770 Buford Highway NE Atlanta , GA 30341",none,"[u'Contact the Agency for Toxic Substances and Disease Registry', 'http://www.atsdr.cdc.gov/contacts.html']"
Agricultural Marketing Service,https://www.usa.gov/federal-agencies/agricultural-marketing-service,none,http://www.ams.usda.gov/,"Room 3071-S, Ag Stop 0201 1400 Independence Avenue, SW Washington , DC 20250-0273",none,"[u'Contact the Agricultural Marketing Service', 'http://www.ams.usda.gov/AMSv1.0/ams.fetchTemplateData.do?template=TemplateD&navID=ContactUs&topNav=ContactUs&page=ContactUs&acct=AMSPW']"
Agricultural Research Service,https://www.usa.gov/federal-agencies/agricultural-research-service,none,http://www.ars.usda.gov/,"5601 Sunnyside Avenue Beltsville , MD 20705",(202) 720-3656,"[u'Contact the Agricultural Research Service', 'http://www.ars.usda.gov/contactus/feedback.htm?originatingpage=http://www.ars.usda.gov/Aboutus/docs.htm?docid=8405', u'Staff Directory', 'http://www.ars.usda.gov/pandp/people.htm']"
U.S. Department of Agriculture,https://www.usa.gov/federal-agencies/u-s-department-of-agriculture,USDA,http://www.usda.gov/wps/portal/usda/usdahome,"1400 Independence Avenue, SW Washington , DC 20250",1-202-720-2791,"[u'Contact the U.S. Department of Agriculture (USDA)', 'http://usda.gov/wps/portal/usda/usdahome?navid=CONTACT_US', u'Child Nutrition Programs', 'http://www.fns.usda.gov/cnd/Contacts/StateDirectory.htm', u'Food Stamps', 'http://www.fns.usda.gov/snap/contact_info/default.htm', u'Meat and Poultry Hotline', 'http://www.fsis.usda.gov/wps/portal/fsis/topics/food-safety-education/!ut/p/a0/04_Sj9CPykssy0xPLMnMz0vMAfGjzOINAg3MDC2dDbz8LQ3dDDz9wgL9vZ2dDSyCTfULsh0VAdVfMYw!/?1dmy&current=true&urile=wcm%3Apath%3A/FSIS-Content/internet/main/programs-and-services/contact-centers/usda-meat-and-poultry-hotline/usda-meat-and-poultry-hotline', u'Employee Directory', 'http://offices.sc.egov.usda.gov/employeeDirectory/app']"
U.S. Air Force,https://www.usa.gov/federal-agencies/u-s-air-force,none,http://www.af.mil/,"1690 Air Force Pentagon Washington , DC 20330-1670",none,"[u'Contact the U.S. Air Force', 'http://www.af.mil/ContactUs.aspx']"
U.S. Air Force Reserve Command,https://www.usa.gov/federal-agencies/u-s-air-force-reserve-command,none,http://www.afrc.af.mil/,"693 Lakeside Circle Robins Air Force Base , GA 31098",(478) 327-1753|(800) 257-1212 Contact a Recruiter,"[u'Contact the U.S. Air Force Reserve Command', 'http://www.afrc.af.mil/main/contactus.asp', u'Join the Air Force Reserve', 'https://afreserve.com/join-now']"
Alabama,https://www.usa.gov/state-government/alabama,none,http://www.alabama.gov/,"600 Dexter Ave. Montgomery , AL , 36104",1-334-242-3935,"[u'Contact the U.S. Air Force Reserve Command', 'http://www.afrc.af.mil/main/contactus.asp', u'Join the Air Force Reserve', 'https://afreserve.com/join-now', 'none']"
Alaska,https://www.usa.gov/state-government/alaska,none,http://alaska.gov/,"120 East 4th Street Juneau , AK , 99801",907-465-3708,"[u'Contact the U.S. Air Force Reserve Command', 'http://www.afrc.af.mil/main/contactus.asp', u'Join the Air Force Reserve', 'https://afreserve.com/join-now', 'none', 'none']"
Alcohol and Tobacco Tax and Trade Bureau,https://www.usa.gov/federal-agencies/alcohol-and-tobacco-tax-and-trade-bureau,none,http://www.ttb.gov/,"1310 G Street, NW, Box 12 Washington , DC 20005",(202) 453-2000,"[u'Contact the Alcohol and Tobacco Tax and Trade Bureau', 'http://www.ttb.gov/about/contact.shtml']"
"Bureau of Alcohol, Tobacco, Firearms, and Explosives",https://www.usa.gov/federal-agencies/bureau-of-alcohol-tobacco-firearms-and-explosives,none,http://www.atf.gov,"99 New York Avenue, NE Washington , DC 20226",1-202-648-7777,"[u'Contact the Bureau of Alcohol, Tobacco, Firearms, and Explosives', 'http://www.atf.gov/content/contact-us']"
AmeriCorps,https://www.usa.gov/federal-agencies/americorps,none,http://www.americorps.gov/,"1201 New York Avenue, NW Washington , DC 20525",(202) 606-5000,"[u'Contact the AmeriCorps', 'http://www.americorps.gov/about/contact/index.asp', u'Find a Volunteer Opportunity', 'http://www.americorps.gov/for_individuals/ready/index.asp']"
American Battle Monuments Commission,https://www.usa.gov/federal-agencies/american-battle-monuments-commission,none,http://www.abmc.gov/,"Courthouse Plaza II, Suite 500 2300 Clarendon Boulevard Arlington , VA 22201",(703) 696-6900,"[u'Contact the American Battle Monuments Commission', 'http://www.abmc.gov/contact-us', u'Order Floral Decorations for Grave Sites', 'http://www.abmc.gov/about-us/our-services/order-floral-decoration']"
American Samoa,https://www.usa.gov/state-government/american-samoa,none,http://americansamoa.gov/,none,684-633-4116,"[u'Contact the American Battle Monuments Commission', 'http://www.abmc.gov/contact-us', u'Order Floral Decorations for Grave Sites', 'http://www.abmc.gov/about-us/our-services/order-floral-decoration', 'none']"
National Railroad Passenger Corporation,https://www.usa.gov/federal-agencies/national-railroad-passenger-corporation,AMTRAK,http://www.amtrak.com/,"60 Massachusetts Avenue, NE Washington , DC 20002",1-202-906-3000,"[u'Contact the National Railroad Passenger Corporation (AMTRAK)', 'http://www.amtrak.com/contact-us']"
Animal and Plant Health Inspection Service,https://www.usa.gov/federal-agencies/animal-and-plant-health-inspection-service,none,http://www.aphis.usda.gov/,"Animal and Plant Health Inspection Service Department of Agriculture Washington , DC 20250",(202) 720-2511,"[u'Contact the Animal and Plant Health Inspection Service', 'http://www.aphis.usda.gov/contact_us/']"
Antitrust Division,https://www.usa.gov/federal-agencies/antitrust-division,none,http://www.justice.gov/atr/index.html,"950 Pennsylvania Avenue, NW Washington , DC 20530-0001",none,"[u'Contact the Antitrust Division', 'http://www.justice.gov/atr/contact/index.html', u'Staff Telephone Directory', 'http://www.justice.gov/atr/contact/phoneworks.html#page=page-1', u'Report Antitrust Concerns', 'http://www.justice.gov/atr/contact/newcase.html']"
Architect of the Capitol,https://www.usa.gov/federal-agencies/architect-of-the-capitol,none,http://www.aoc.gov/,"SB-15 U.S. Capitol U.S. Capitol Building Washington , DC 20515",(202) 228-1793,"[u'Contact the Architect of the Capitol', 'http://www.aoc.gov/contact-form']"
National Archives and Records Administration,https://www.usa.gov/federal-agencies/national-archives-and-records-administration,NARA,http://www.archives.gov/index.html,"8601 Adelphi Road College Park , MD 20740-6001",none,"[u'Contact the National Archives and Records Administration', 'http://www.archives.gov/contact/']"
U.S. Arctic Research Commission,https://www.usa.gov/federal-agencies/u-s-arctic-research-commission,none,http://www.arctic.gov/,"4350 N. Fairfax Drive, Suite 510 Arlington , VA 22203",(703) 525-0111,"[u'Contact the U.S. Arctic Research Commission', 'http://www.arctic.gov/contact.html']"
Arizona,https://www.usa.gov/state-government/arizona,none,http://az.gov/,"1700 West Washington Street Phoenix , AZ , 85007",602-926-3620,"[u'Contact the U.S. Arctic Research Commission', 'http://www.arctic.gov/contact.html', 'none']"
Arkansas,https://www.usa.gov/state-government/arkansas,none,http://www.arkansas.gov,"425 W Capitol Ave. Suite 1620 Little Rock , AR , 72201",501-682-5080,"[u'Contact the U.S. Arctic Research Commission', 'http://www.arctic.gov/contact.html', 'none', 'none']"
Armed Forces Retirement Home,https://www.usa.gov/federal-agencies/armed-forces-retirement-home,none,http://www.afrh.gov/,none,none,"[u'Contact the Armed Forces Retirement Home', 'https://www.afrh.gov/afrh/contact/contact.htm']"
Arms Control and International Security,https://www.usa.gov/federal-agencies/arms-control-and-international-security,none,http://www.state.gov/t/,"U.S. Department of State 2201 C Street NW Washington , DC 20520",(202) 647-4000,"[u'Contact the Arms Control and International Security', 'http://www.state.gov/contact/']"
U.S. Army,https://www.usa.gov/federal-agencies/u-s-army,none,http://www.army.mil/,"1500 Defense Pentagon Washington , DC 20310",none,"[u'Contact the U.S. Army', 'http://www.army.mil/contactus/']"
U.S. Army Corps of Engineers,https://www.usa.gov/federal-agencies/u-s-army-corps-of-engineers,none,http://www.usace.army.mil/,"441 G Street, NW Washington , DC 20314-1000",1-202-761-0011,"[u'Contact the U.S. Army Corps of Engineers', 'http://www.usace.army.mil/ContactUs/Pages/default.aspx']"
Arthritis and Musculoskeletal Interagency Coordinating Committee,https://www.usa.gov/federal-agencies/arthritis-and-musculoskeletal-interagency-coordinating-committee,none,http://www.niams.nih.gov/,"1 AMS Circle Bethesda , MD 20892-3675",301-495-4484,"[u'Contact the Arthritis and Musculoskeletal Interagency Coordinating Committee', 'http://www.niams.nih.gov/About_Us/Contact_Us/default.asp', u'Staff Phone Directory', 'http://www.niams.nih.gov/About_Us/Phone_Directory/NIAMS_staff.asp']"
